Marca;Marca_url;Modelo;Modelo_url;Ventas;Year
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;ZOE;https://eu-evs.com/modelCharts/RENAULT/ZOE/ES;1353;2017
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;LEAF;https://eu-evs.com/modelCharts/NISSAN/LEAF/ES;530;2017
BMW;https://eu-evs.com/brandCharts/BMW/ES;I3;https://eu-evs.com/modelCharts/BMW/I3/ES;498;2017
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORTWO;https://eu-evs.com/modelCharts/SMART/FORTWO/ES;418;2017
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;E-NV200;https://eu-evs.com/modelCharts/NISSAN/E-NV200/ES;329;2017
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;KANGOO;https://eu-evs.com/modelCharts/RENAULT/KANGOO/ES;296;2017
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL S;https://eu-evs.com/modelCharts/TESLA/MODEL%20S/ES;225;2017
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;GOLF;https://eu-evs.com/modelCharts/VOLKSWAGEN/GOLF/ES;182;2017
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL X;https://eu-evs.com/modelCharts/TESLA/MODEL%20X/ES;163;2017
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;C-ZERO;https://eu-evs.com/modelCharts/CITROEN/C-ZERO/ES;160;2017
HYUNDAI;https://eu-evs.com/brandCharts/HYUNDAI/ES;IONIQ;https://eu-evs.com/modelCharts/HYUNDAI/IONIQ/ES;129;2017
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORFOUR;https://eu-evs.com/modelCharts/SMART/FORFOUR/ES;113;2017
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-BERLINGO;https://eu-evs.com/modelCharts/CITROEN/E-BERLINGO/ES;112;2017
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E-PARTNER;https://eu-evs.com/modelCharts/PEUGEOT/E-PARTNER/ES;102;2017
KIA;https://eu-evs.com/brandCharts/KIA/ES;SOUL;https://eu-evs.com/modelCharts/KIA/SOUL/ES;97;2017
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;ION;https://eu-evs.com/modelCharts/PEUGEOT/ION/ES;29;2017
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;UP!;https://eu-evs.com/modelCharts/VOLKSWAGEN/UP!/ES;21;2017
MERCEDES;https://eu-evs.com/brandCharts/MERCEDES/ES;B250E;https://eu-evs.com/modelCharts/MERCEDES/B250E/ES;13;2017
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-MEHARI;https://eu-evs.com/modelCharts/CITROEN/E-MEHARI/ES;12;2017
SEAT;https://eu-evs.com/brandCharts/SEAT/ES;MII;https://eu-evs.com/modelCharts/SEAT/MII/ES;11;2017
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;PASSAT;https://eu-evs.com/modelCharts/VOLKSWAGEN/PASSAT/ES;10;2017
GRUAU;https://eu-evs.com/brandCharts/GRUAU/ES;NISSAN LEAF;https://eu-evs.com/modelCharts/GRUAU/NISSAN%20LEAF/ES;4;2017
BMW;https://eu-evs.com/brandCharts/BMW/ES;I8;https://eu-evs.com/modelCharts/BMW/I8/ES;3;2017
AUDI;https://eu-evs.com/brandCharts/AUDI/ES;A3;https://eu-evs.com/modelCharts/AUDI/A3/ES;2;2017
AUDI;https://eu-evs.com/brandCharts/AUDI/ES;Q7;https://eu-evs.com/modelCharts/AUDI/Q7/ES;1;2017
FORD;https://eu-evs.com/brandCharts/FORD/ES;FOCUS;https://eu-evs.com/modelCharts/FORD/FOCUS/ES;1;2017
PIAGGIO;https://eu-evs.com/brandCharts/PIAGGIO/ES;PORTER;https://eu-evs.com/modelCharts/PIAGGIO/PORTER/ES;1;2017
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;ZOE;https://eu-evs.com/modelCharts/RENAULT/ZOE/ES;1437;2018
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;LEAF;https://eu-evs.com/modelCharts/NISSAN/LEAF/ES;1261;2018
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORTWO;https://eu-evs.com/modelCharts/SMART/FORTWO/ES;761;2018
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;KANGOO;https://eu-evs.com/modelCharts/RENAULT/KANGOO/ES;748;2018
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORFOUR;https://eu-evs.com/modelCharts/SMART/FORFOUR/ES;698;2018
BMW;https://eu-evs.com/brandCharts/BMW/ES;I3;https://eu-evs.com/modelCharts/BMW/I3/ES;533;2018
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;E-NV200;https://eu-evs.com/modelCharts/NISSAN/E-NV200/ES;467;2018
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;GOLF;https://eu-evs.com/modelCharts/VOLKSWAGEN/GOLF/ES;279;2018
HYUNDAI;https://eu-evs.com/brandCharts/HYUNDAI/ES;KONA;https://eu-evs.com/modelCharts/HYUNDAI/KONA/ES;224;2018
HYUNDAI;https://eu-evs.com/brandCharts/HYUNDAI/ES;IONIQ;https://eu-evs.com/modelCharts/HYUNDAI/IONIQ/ES;205;2018
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E-PARTNER;https://eu-evs.com/modelCharts/PEUGEOT/E-PARTNER/ES;169;2018
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL S;https://eu-evs.com/modelCharts/TESLA/MODEL%20S/ES;163;2018
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL X;https://eu-evs.com/modelCharts/TESLA/MODEL%20X/ES;160;2018
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-BERLINGO;https://eu-evs.com/modelCharts/CITROEN/E-BERLINGO/ES;156;2018
KIA;https://eu-evs.com/brandCharts/KIA/ES;SOUL;https://eu-evs.com/modelCharts/KIA/SOUL/ES;107;2018
JAGUAR;https://eu-evs.com/brandCharts/JAGUAR/ES;I-PACE;https://eu-evs.com/modelCharts/JAGUAR/I-PACE/ES;66;2018
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;C-ZERO;https://eu-evs.com/modelCharts/CITROEN/C-ZERO/ES;42;2018
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-MEHARI;https://eu-evs.com/modelCharts/CITROEN/E-MEHARI/ES;29;2018
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;ION;https://eu-evs.com/modelCharts/PEUGEOT/ION/ES;29;2018
GRUAU;https://eu-evs.com/brandCharts/GRUAU/ES;NISSAN LEAF;https://eu-evs.com/modelCharts/GRUAU/NISSAN%20LEAF/ES;13;2018
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;UP!;https://eu-evs.com/modelCharts/VOLKSWAGEN/UP!/ES;5;2018
MERCEDES;https://eu-evs.com/brandCharts/MERCEDES/ES;B250E;https://eu-evs.com/modelCharts/MERCEDES/B250E/ES;5;2018
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;PASSAT;https://eu-evs.com/modelCharts/VOLKSWAGEN/PASSAT/ES;3;2018
AUDI;https://eu-evs.com/brandCharts/AUDI/ES;A3;https://eu-evs.com/modelCharts/AUDI/A3/ES;2;2018
PIAGGIO;https://eu-evs.com/brandCharts/PIAGGIO/ES;PORTER;https://eu-evs.com/modelCharts/PIAGGIO/PORTER/ES;2;2018
BMW;https://eu-evs.com/brandCharts/BMW/ES;I8;https://eu-evs.com/modelCharts/BMW/I8/ES;1;2018
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;MASTER;https://eu-evs.com/modelCharts/RENAULT/MASTER/ES;1;2018
KIA;https://eu-evs.com/brandCharts/KIA/ES;PICANTO;https://eu-evs.com/modelCharts/KIA/PICANTO/ES;1;2018
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;BCWX;https://eu-evs.com/modelCharts/RENAULT/BCWX/ES;1;2018
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;TWIZY;https://eu-evs.com/modelCharts/RENAULT/TWIZY/ES;1;2018
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL 3;https://eu-evs.com/modelCharts/TESLA/MODEL%203/ES;1688;2019
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;LEAF;https://eu-evs.com/modelCharts/NISSAN/LEAF/ES;1497;2019
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;ZOE;https://eu-evs.com/modelCharts/RENAULT/ZOE/ES;1050;2019
