Marca;MARCA;MODELO;Ventas total;Precio;range km;tiempo;kWh;eficiencia Wh/km;cargarapida km/h;velocidadmax km/h;Segment_num;marketsegment;personas;towingcapacity;motor;url
1;VOLKSWAGEN;ID. BUZZ;6323;55000;340;10.0;77.0;226;510;145;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1651/1-ID-Buzz
1;VOLKSWAGEN;ID.4 PRO PERFORMANCE;6323;47740;410;8.5;77.0;188;520;160;3;C;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1314/1-ID4-Pro-Performance
1;VOLKSWAGEN;ID.3 PRO;6323;36890;350;9.6;58.0;166;490;160;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1531/1-ID3-Pro
1;VOLKSWAGEN;ID.4 GTX;6323;53790;400;6.2;77.0;193;500;180;3;C;5;1200;Battery Electric Vehicle ;https://ev-database.org/car/1494/1-ID4-GTX
1;VOLKSWAGEN;E-UP!;6323;26895;205;11.9;32.3;158;170;130;1;A;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1650/1-e-Up
1;VOLKSWAGEN;ID.3 PRO PERFORMANCE;6323;38390;350;7.3;58.0;166;490;160;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1532/1-ID3-Pro-Performance
1;VOLKSWAGEN;ID.3 PRO S - 5 SEATS;6323;42690;450;7.9;77.0;171;570;160;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1534/1-ID3-Pro-S---5-Seats
1;VOLKSWAGEN;ID.5 GTX;6323;55690;405;6.3;77.0;190;540;180;3;C;5;1200;Battery Electric Vehicle ;https://ev-database.org/car/1558/1-ID5-GTX
1;VOLKSWAGEN;ID.4 PRO;6323;43807;410;10.4;77.0;188;520;160;3;C;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1627/1-ID4-Pro
1;VOLKSWAGEN;ID.4 PURE;6323;39790;285;10.9;52.0;182;360;160;3;C;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1489/1-ID4-Pure
1;VOLKSWAGEN;ID.5 PRO;6323;48590;430;10.4;77.0;179;540;160;3;C;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1556/1-ID5-Pro
1;VOLKSWAGEN;ID.3 PURE PERFORMANCE;6323;33990;275;8.9;45.0;164;410;160;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1530/1-ID3-Pure-Performance
